Gene;Associated_ND;Phenotype_influence;Key_reference
ANG;ALS/PD; ;-21
ANXA11;ALS; ;-22
APOE; ;Longer survival;-23
ATXN2;ALS; ;-24
CAMTA1; ;Shorter survival;-25
C21orf2;ALS; ;-26
C9orf72;FTD/ALS;Primarily bulbar onset;-10
CCNF;FTD/ALS; ;-27
CHCHD10;FTD/ALS; ;-28
DAO;ALS; ;-29
DCTN1;ALS; ;-30
EPHA4; ;Longer survival;-31
FIG4;ALS; ;-32
FUS;FTD/ALS;Early age of onset and shorter survival;-9
HNRNPA1;ALS; ;-33
IDE; ;Shorter survival;-25
KIF5A;ALS; ;-34
MATR3;ALS; ;-35
MOBP;ALS; ;-26
NEK1;ALS; ;-36
NIPA1;ALS; ;-37
OPTN;ALS; ;-38
PFN1;ALS;Limb-onset;-39
PGRN;FTD/ALS; ;-40
SARM1;ALS; ;-26
SCFD1;ALS; ;-26
SOD1;ALS;Limb-onset, early age of onset and shorter survival;-41
SPG11;ALS; ;-38
SQSTM1;FTD/ALS; ;-42
SETX;ALS; ;-43
TAF15;ALS; ;-44
TARDBP;FTD/ALS; ;-45
TBK1;ALS; ;-26
TUBA4A;FTD/ALS; ;-46
UBQLN2;FTD/ALS; ;-47
UNC13A;ALS;Shorter survival;-26
VAPB;ALS; ;-48
VCP;FTD/ALS; ;-49
8p23.2;ALS; ;-26
1p34- rs3011225; ;Late age of onset;-50
